,SoBD,Toan,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,Unnamed: 10,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1,Ma Tinh,Ten Tinh,Vung mien
1260,1261,4.2,5.25,3.8,3.25,2.5,3.5,3.75,5.0,6.75,,9.95,10.2,14.0,13.25,11.25,18, Bac Giang,Mien Bac
1261,1262,4.6,5.0,3.0,3.0,3.0,6.25,3.75,6.5,8.0,,10.6,13.85,15.25,12.6,10.6,18, Bac Giang,Mien Bac
1265,1266,5.0,4.0,4.4,4.25,3.0,4.25,2.25,6.75,8.0,,12.25,12.25,13.0,13.4,13.65,18, Bac Giang,Mien Bac
1357,1358,4.8,5.5,4.6,6.0,4.25,3.75,4.75,7.5,7.5,,15.05,12.8,17.75,14.9,15.4,18, Bac Giang,Mien Bac
1358,1359,4.6,5.5,1.8,2.75,4.5,3.25,3.5,5.0,6.5,,11.85,12.35,14.0,11.9,9.15,18, Bac Giang,Mien Bac
1552,1553,5.8,8.5,3.0,5.25,2.25,3.0,5.25,9.5,6.75,,13.3,11.05,23.25,17.3,14.05,18, Bac Giang,Mien Bac
1617,1618,6.2,5.5,3.2,4.25,4.75,5.75,2.25,4.75,7.0,,15.2,16.7,12.5,14.9,13.65,18, Bac Giang,Mien Bac
1788,1789,5.0,6.5,3.6,4.75,3.25,4.75,3.75,6.25,6.5,,13.0,13.0,16.5,15.1,13.35,18, Bac Giang,Mien Bac
1791,1792,4.2,5.75,2.8,2.75,2.75,2.5,3.0,4.75,5.5,,9.7,9.45,13.5,12.75,9.75,18, Bac Giang,Mien Bac
1928,1929,4.0,4.5,2.8,2.25,4.0,3.25,1.5,4.0,5.0,,10.25,11.25,10.0,11.3,9.05,18, Bac Giang,Mien Bac
2071,2072,7.8,6.5,3.2,7.0,7.0,4.25,4.0,7.75,8.0,,21.8,19.05,18.25,17.5,18.0,18, Bac Giang,Mien Bac
2251,2252,6.4,7.75,6.0,4.5,2.5,3.75,2.75,5.5,6.5,,13.4,12.65,16.0,20.15,16.9,18, Bac Giang,Mien Bac
2262,2263,4.2,5.0,3.4,2.25,2.0,3.75,2.5,6.0,5.5,,8.45,9.95,13.5,12.6,9.85,18, Bac Giang,Mien Bac
2495,2496,7.4,4.0,6.2,6.5,2.75,4.75,3.75,4.75,7.5,,16.65,14.9,12.5,17.6,20.1,18, Bac Giang,Mien Bac
3226,3227,3.2,6.0,3.2,2.0,3.25,2.5,3.0,4.5,7.0,,8.45,8.95,13.5,12.4,8.4,18, Bac Giang,Mien Bac
3475,3476,4.2,6.75,3.6,3.0,3.75,4.5,5.5,6.25,7.0,,10.95,12.45,18.5,14.55,10.8,18, Bac Giang,Mien Bac
3683,3684,5.0,7.5,3.2,4.0,3.5,4.5,4.0,5.75,7.5,,12.5,13.0,17.25,15.7,12.2,18, Bac Giang,Mien Bac
4116,4117,6.8,4.75,3.2,4.25,3.5,6.25,3.0,4.5,5.75,,14.55,16.55,12.25,14.75,14.25,18, Bac Giang,Mien Bac
4842,4843,6.6,7.25,7.6,5.75,3.25,3.25,3.75,5.25,8.75,,15.6,13.1,16.25,21.45,19.95,18, Bac Giang,Mien Bac
5730,5731,6.4,6.5,6.0,2.25,1.5,3.75,3.0,6.25,9.0,,10.15,11.65,15.75,18.9,14.65,18, Bac Giang,Mien Bac
5981,5982,1.6,4.25,3.9335434349801064,2.0,2.75,4.25,3.5,3.25,,,6.35,8.6,11.0,14.2,,18, Bac Giang,Mien Bac
5982,5983,3.6,3.75,3.9335434349801064,2.75,2.75,3.0,2.5,3.5,,,9.1,9.35,9.75,14.2,,18, Bac Giang,Mien Bac
5983,5984,2.6,5.5,3.9335434349801064,3.0,3.25,3.0,4.0,4.75,,,8.85,8.85,14.25,14.2,,18, Bac Giang,Mien Bac
5984,5985,3.2,3.0,3.9335434349801064,1.75,3.25,3.5,3.75,5.25,,,8.2,9.95,12.0,14.2,,18, Bac Giang,Mien Bac
5985,5986,1.2,3.5,3.9335434349801064,2.75,3.0,2.75,3.0,5.25,,,6.95,6.95,11.75,14.2,,18, Bac Giang,Mien Bac
5987,5988,2.6,3.0,3.9335434349801064,2.0,3.0,3.25,3.0,4.0,,,7.6,8.85,10.0,14.2,,18, Bac Giang,Mien Bac
5988,5989,3.0,3.0,3.9335434349801064,4.0,3.0,2.0,2.0,5.5,,,10.0,8.0,10.5,14.2,,18, Bac Giang,Mien Bac
5989,5990,2.6,2.25,3.9335434349801064,1.75,1.5,3.0,3.25,3.0,,,5.85,7.1,8.5,14.2,,18, Bac Giang,Mien Bac
6040,6041,5.6,5.75,3.4,2.25,4.25,4.75,3.5,5.0,6.75,,12.1,14.6,14.25,14.75,11.25,18, Bac Giang,Mien Bac
6141,6142,4.2,6.75,7.0,3.5,3.5,5.25,4.0,5.5,9.5,,11.2,12.95,16.25,17.95,14.7,18, Bac Giang,Mien Bac
6143,6144,4.4,6.5,4.0,3.25,3.0,3.5,4.25,6.0,8.75,,10.65,10.9,16.75,14.9,11.65,18, Bac Giang,Mien Bac
6316,6317,7.4,4.5,7.6,6.5,4.75,2.5,4.25,5.5,5.0,,18.65,14.65,14.25,19.5,21.5,18, Bac Giang,Mien Bac
6366,6367,4.0,6.25,2.4,3.25,3.75,4.25,2.25,6.75,8.5,,11.0,12.0,15.25,12.65,9.65,18, Bac Giang,Mien Bac
6414,6415,5.8,6.25,4.2,4.25,3.0,4.5,3.75,5.75,8.25,,13.05,13.3,15.75,16.25,14.25,18, Bac Giang,Mien Bac
6583,6584,6.4,5.25,3.6,3.5,4.5,3.5,5.75,7.0,8.0,,14.4,14.4,18.0,15.25,13.5,18, Bac Giang,Mien Bac
6721,6722,5.8,7.0,3.8,4.5,4.5,4.5,4.0,6.5,7.25,,14.8,14.8,17.5,16.6,14.1,18, Bac Giang,Mien Bac
6772,6773,3.2,4.5,3.9335434349801064,2.75,2.75,4.25,3.5,5.0,,,8.7,10.2,13.0,14.2,,18, Bac Giang,Mien Bac
6944,6945,3.6,4.5,3.2,3.25,3.5,3.5,3.75,5.75,7.75,,10.35,10.6,14.0,11.3,10.05,18, Bac Giang,Mien Bac
7067,7068,6.2,7.0,2.6,3.0,6.0,5.75,5.25,7.5,6.75,,15.2,17.95,19.75,15.8,11.8,18, Bac Giang,Mien Bac
7173,7174,6.4,6.25,3.8,4.5,5.0,5.75,4.25,5.75,7.25,,15.9,17.15,16.25,16.45,14.7,18, Bac Giang,Mien Bac
7175,7176,4.4,5.5,1.6,4.0,4.0,4.25,4.0,7.25,7.5,,12.4,12.65,16.75,11.5,10.0,18, Bac Giang,Mien Bac
7192,7193,4.4,5.0,2.8,2.25,4.5,4.25,4.75,5.75,7.0,,11.15,13.15,15.5,12.2,9.45,18, Bac Giang,Mien Bac
7318,7319,3.8,4.0,2.6,3.75,2.25,3.5,5.0,6.0,,,9.8,9.55,15.0,10.4,10.15,18, Bac Giang,Mien Bac
7347,7348,6.2,5.5,8.4,6.0,4.0,4.75,5.0,7.0,4.75,,16.2,14.95,17.5,20.1,20.6,18, Bac Giang,Mien Bac
7725,7726,4.2,5.75,3.8,5.0,5.5,4.5,4.0,7.0,7.25,,14.7,14.2,16.75,13.75,13.0,18, Bac Giang,Mien Bac
7876,7877,3.0,3.0,3.9335434349801064,2.25,2.25,2.75,3.25,5.25,,,7.5,8.0,11.5,14.2,,18, Bac Giang,Mien Bac
7916,7917,4.6,6.5,4.2,5.0,1.25,4.75,1.75,5.25,6.5,,10.85,10.6,13.5,15.3,13.8,18, Bac Giang,Mien Bac
8189,8190,1.6,2.25,3.9335434349801064,2.25,2.25,2.0,4.5,5.75,,,6.1,5.85,12.5,14.2,,18, Bac Giang,Mien Bac
8582,8583,5.4,3.75,2.0,2.5,1.75,4.5,2.5,4.5,5.75,,9.65,11.65,10.75,11.15,9.9,18, Bac Giang,Mien Bac
8694,8695,3.4,5.0,3.9335434349801064,2.5,2.25,3.25,2.25,3.5,,,8.15,8.9,10.75,14.2,,18, Bac Giang,Mien Bac
8706,8707,2.6,2.75,3.9335434349801064,4.5,3.25,3.25,2.25,3.75,,,10.35,9.1,8.75,14.2,,18, Bac Giang,Mien Bac
8710,8711,2.8,3.25,3.9335434349801064,3.0,3.25,3.25,2.5,3.25,,,9.05,9.3,9.0,14.2,,18, Bac Giang,Mien Bac
8872,8873,5.8,7.5,6.6,5.25,3.25,4.25,3.5,5.5,7.0,,14.3,13.3,16.5,19.9,17.65,18, Bac Giang,Mien Bac
9164,9165,4.8,4.75,5.6,3.0,3.25,3.25,6.25,6.25,8.0,,11.05,11.3,17.25,15.15,13.4,18, Bac Giang,Mien Bac
9165,9166,5.4,5.75,3.4,2.5,2.75,4.25,4.0,5.5,6.0,,10.65,12.4,15.25,14.55,11.3,18, Bac Giang,Mien Bac
9269,9270,3.8,5.75,2.4,3.0,3.0,3.0,2.25,5.25,5.25,,9.8,9.8,13.25,11.95,9.2,18, Bac Giang,Mien Bac
9433,9434,6.0,6.5,8.0,3.25,4.75,3.25,3.75,6.5,7.75,,14.0,14.0,16.75,20.5,17.25,18, Bac Giang,Mien Bac
9434,9435,4.0,5.5,4.6,2.5,4.5,3.25,5.0,7.0,8.5,,11.0,11.75,17.5,14.1,11.1,18, Bac Giang,Mien Bac
9458,9459,4.8,6.0,5.6,3.5,4.0,4.5,4.0,5.75,7.25,,12.3,13.3,15.75,16.4,13.9,18, Bac Giang,Mien Bac
9469,9470,7.6,7.25,8.2,6.5,4.0,5.25,4.75,8.0,8.5,,18.1,16.85,20.0,23.05,22.3,18, Bac Giang,Mien Bac
9813,9814,7.2,6.25,6.2,6.25,3.25,4.25,3.5,5.75,6.5,,16.7,14.7,15.5,19.65,19.65,18, Bac Giang,Mien Bac
9984,9985,4.2,2.25,2.4,2.5,4.75,5.0,2.75,5.75,7.25,,11.45,13.95,10.75,8.85,9.1,18, Bac Giang,Mien Bac
10034,10035,5.8,5.25,8.6,6.5,3.0,3.5,3.25,7.25,6.75,,15.3,12.3,15.75,19.65,20.9,18, Bac Giang,Mien Bac
10115,10116,3.0,3.0,3.9335434349801064,3.5,2.25,3.5,2.25,5.25,,,8.75,8.75,10.5,14.2,,18, Bac Giang,Mien Bac
10371,10372,6.6,7.5,4.4,4.0,4.5,5.0,4.75,5.25,7.0,,15.1,16.1,17.5,18.5,15.0,18, Bac Giang,Mien Bac
10375,10376,5.4,5.75,5.0,2.5,5.5,4.25,4.25,7.0,8.0,,13.4,15.15,17.0,16.15,12.9,18, Bac Giang,Mien Bac
10549,10550,4.6,6.0,9.2,5.0,7.0,3.5,2.0,5.0,7.0,,16.6,15.1,13.0,19.8,18.8,18, Bac Giang,Mien Bac
10601,10602,5.8,6.0,2.8,3.5,3.25,4.75,3.0,5.75,6.5,,12.55,13.8,14.75,14.6,12.1,18, Bac Giang,Mien Bac
10625,10626,6.0,3.0,2.6,3.5,3.5,4.0,3.25,7.25,7.0,,13.0,13.5,13.5,11.6,12.1,18, Bac Giang,Mien Bac
11455,11456,4.0,4.25,2.8,2.25,3.75,3.25,3.25,7.25,8.0,,10.0,11.0,14.75,11.05,9.05,18, Bac Giang,Mien Bac
11456,11457,4.2,3.25,2.6,4.0,4.0,4.0,2.5,6.0,8.25,,12.2,12.2,11.75,10.05,10.8,18, Bac Giang,Mien Bac
12071,12072,6.8,5.75,7.4,6.75,3.25,5.0,2.75,5.25,8.25,,16.8,15.05,13.75,19.95,20.95,18, Bac Giang,Mien Bac
12525,12526,5.6,5.0,3.2,4.75,3.75,5.5,5.25,6.75,6.25,,14.1,14.85,17.0,13.8,13.55,18, Bac Giang,Mien Bac
12527,12528,5.6,5.5,3.4,3.0,4.0,4.25,4.75,6.25,7.25,,12.6,13.85,16.5,14.5,12.0,18, Bac Giang,Mien Bac
12604,12605,5.6,7.0,2.4,2.75,4.25,3.75,3.5,6.0,7.25,,12.6,13.6,16.5,15.0,10.75,18, Bac Giang,Mien Bac
12838,12839,4.4,4.0,3.0,2.0,4.25,4.0,2.25,5.5,7.5,,10.65,12.65,11.75,11.4,9.4,18, Bac Giang,Mien Bac
12864,12865,4.8,4.5,3.0,4.0,3.5,4.75,4.25,5.5,8.25,,12.3,13.05,14.25,12.3,11.8,18, Bac Giang,Mien Bac
13106,13107,5.6,6.0,3.0,3.0,4.5,5.0,4.5,7.75,7.5,,13.1,15.1,18.25,14.6,11.6,18, Bac Giang,Mien Bac
13421,13422,6.8,6.5,3.4,5.25,5.25,6.5,4.0,6.0,7.75,,17.3,18.55,16.5,16.7,15.45,18, Bac Giang,Mien Bac
13589,13590,5.4,5.75,3.0,3.0,3.75,6.25,4.25,5.75,8.25,,12.15,15.4,15.75,14.15,11.4,18, Bac Giang,Mien Bac
13894,13895,4.2,5.75,3.2,2.75,3.25,3.75,4.75,7.25,7.0,,10.2,11.2,17.75,13.15,10.15,18, Bac Giang,Mien Bac
13913,13914,6.0,6.25,3.0,3.0,2.75,4.0,3.75,7.0,8.25,,11.75,12.75,17.0,15.25,12.0,18, Bac Giang,Mien Bac
14458,14459,4.2,6.25,3.2,4.0,3.25,3.75,2.75,7.5,7.5,,11.45,11.2,16.5,13.65,11.4,18, Bac Giang,Mien Bac
15077,15078,4.6,5.0,3.8,2.75,3.75,3.0,4.0,5.0,7.25,,11.1,11.35,14.0,13.4,11.15,18, Bac Giang,Mien Bac
15284,15285,3.4,3.0,3.9335434349801064,2.5,3.25,3.75,4.5,4.75,,,9.15,10.4,12.25,14.2,,18, Bac Giang,Mien Bac
15288,15289,2.8,2.0,3.9335434349801064,2.0,2.0,3.75,3.0,5.75,,,6.8,8.55,10.75,14.2,,18, Bac Giang,Mien Bac
15655,15656,4.8,5.75,3.0,3.5,4.25,6.25,3.75,7.0,7.0,,12.55,15.3,16.5,13.55,11.3,18, Bac Giang,Mien Bac
15661,15662,8.0,5.5,2.8,7.0,8.0,3.0,4.25,3.25,7.0,,23.0,19.0,13.0,16.3,17.8,18, Bac Giang,Mien Bac
16021,16022,7.0,6.0,4.4,6.0,3.5,4.25,2.25,4.75,5.5,,16.5,14.75,13.0,17.4,17.4,18, Bac Giang,Mien Bac
16173,16174,2.4,2.75,3.9335434349801064,1.0,3.5,2.0,2.0,4.25,,,6.9,7.9,9.0,14.2,,18, Bac Giang,Mien Bac
16521,16522,6.0,8.25,6.6,2.75,3.25,3.75,3.5,4.25,7.5,,12.0,13.0,16.0,20.85,15.35,18, Bac Giang,Mien Bac
16807,16808,5.6,5.5,2.8,3.0,3.75,3.0,2.25,6.5,8.0,,12.35,12.35,14.25,13.9,11.4,18, Bac Giang,Mien Bac
17031,17032,2.4,4.25,3.9335434349801064,2.0,2.5,2.75,3.0,5.25,,,6.9,7.65,12.5,14.2,,18, Bac Giang,Mien Bac
17045,17046,3.2,3.0,3.9335434349801064,2.25,3.75,2.25,1.25,4.25,,,9.2,9.2,8.5,14.2,,18, Bac Giang,Mien Bac
17106,17107,3.8,5.75,2.4,4.75,3.0,3.75,1.75,5.75,6.25,,11.55,10.55,13.25,11.95,10.95,18, Bac Giang,Mien Bac
17195,17196,6.2,6.25,5.4,5.25,4.25,6.0,4.75,5.75,7.0,,15.7,16.45,16.75,17.85,16.85,18, Bac Giang,Mien Bac
17213,17214,4.4,5.25,3.9335434349801064,3.5,3.75,,6.5,7.5,,,11.65,,19.25,14.2,,18, Bac Giang,Mien Bac
17325,17326,2.2,2.25,3.9335434349801064,2.75,4.0,2.25,2.75,3.25,,,8.95,8.45,8.25,14.2,,18, Bac Giang,Mien Bac
17604,17605,2.2,2.75,3.9335434349801064,3.25,2.25,2.25,2.5,3.0,,,7.7,6.7,8.25,14.2,,18, Bac Giang,Mien Bac
17607,17608,3.4,5.0,3.9335434349801064,2.75,2.25,2.75,2.75,3.75,,,8.4,8.4,11.5,14.2,,18, Bac Giang,Mien Bac
17694,17695,6.0,4.25,2.4,5.75,5.25,5.25,4.0,4.5,6.75,,17.0,16.5,12.75,12.65,14.15,18, Bac Giang,Mien Bac
17906,17907,3.6,4.25,3.9335434349801064,3.5,4.25,4.5,3.75,6.75,,,11.35,12.35,14.75,14.2,,18, Bac Giang,Mien Bac
17976,17977,4.4,4.0,3.2,3.75,2.75,3.0,3.25,6.25,6.25,,10.9,10.15,13.5,11.6,11.35,18, Bac Giang,Mien Bac
18219,18220,3.6,3.0,3.9335434349801064,2.25,3.0,2.75,4.0,6.0,,,8.85,9.35,13.0,14.2,,18, Bac Giang,Mien Bac
18772,18773,3.6,4.0,3.9335434349801064,3.75,3.25,2.0,2.75,4.75,,,10.6,8.85,11.5,14.2,,18, Bac Giang,Mien Bac
19120,19121,3.8,5.0,2.8,2.5,2.0,4.0,2.5,4.75,6.0,,8.3,9.8,12.25,11.6,9.1,18, Bac Giang,Mien Bac
19408,19409,5.2,5.75,4.4,5.5,4.5,6.5,4.75,5.75,8.0,,15.2,16.2,16.25,15.35,15.1,18, Bac Giang,Mien Bac
19666,19667,4.6,5.25,2.4,1.75,3.5,3.0,3.0,4.75,7.5,,9.85,11.1,13.0,12.25,8.75,11, Bac Kan,Mien Bac
19667,19668,5.0,7.25,4.4,2.75,3.75,4.0,2.75,3.75,8.5,,11.5,12.75,13.75,16.65,12.15,11, Bac Kan,Mien Bac
19668,19669,6.8,8.25,3.2,3.0,4.5,4.25,6.75,8.0,9.5,,14.3,15.55,23.0,18.25,13.0,11, Bac Kan,Mien Bac
19669,19670,5.4,4.25,5.2,4.25,2.25,4.0,5.5,6.5,9.0,,11.9,11.65,16.25,14.85,14.85,11, Bac Kan,Mien Bac
19688,19689,4.6,6.0,3.8,3.75,3.0,3.75,3.5,6.0,7.0,,11.35,11.35,15.5,14.4,12.15,11, Bac Kan,Mien Bac
19699,19700,3.4,6.75,3.9335434349801064,3.5,2.75,2.5,5.5,6.25,,,9.65,8.65,18.5,14.2,,11, Bac Kan,Mien Bac
19733,19734,4.4,7.5,1.2,2.75,2.25,3.5,3.25,5.0,5.5,,9.4,10.15,15.75,13.1,8.35,11, Bac Kan,Mien Bac
19843,19844,3.4,5.25,3.9335434349801064,2.25,3.0,3.0,3.25,5.5,,,8.65,9.4,14.0,14.2,,11, Bac Kan,Mien Bac
19844,19845,3.8,3.75,3.9335434349801064,2.5,2.25,4.75,4.75,6.5,,,8.55,10.8,15.0,14.2,,11, Bac Kan,Mien Bac
19845,19846,3.4,4.0,3.9335434349801064,2.75,1.25,2.75,4.5,4.5,,,7.4,7.4,13.0,14.2,,11, Bac Kan,Mien Bac
19846,19847,2.0,2.0,3.9335434349801064,1.75,3.5,3.0,3.75,5.5,,,7.25,8.5,11.25,14.2,,11, Bac Kan,Mien Bac
19847,19848,2.2,3.5,3.9335434349801064,4.0,4.0,2.25,3.0,4.75,,,10.2,8.45,11.25,14.2,,11, Bac Kan,Mien Bac
19848,19849,0.6,3.25,3.9335434349801064,2.75,3.75,3.25,2.75,4.75,,,7.1,7.6,10.75,14.2,,11, Bac Kan,Mien Bac
19849,19850,3.2,5.25,3.9335434349801064,4.0,1.5,3.75,3.5,6.5,,,8.7,8.45,15.25,14.2,,11, Bac Kan,Mien Bac
19850,19851,2.2,4.0,3.9335434349801064,1.5,3.75,4.0,2.75,5.5,,,7.45,9.95,12.25,14.2,,11, Bac Kan,Mien Bac
19851,19852,3.4,3.5,3.9335434349801064,3.25,3.5,3.25,3.5,5.25,,,10.15,10.15,12.25,14.2,,11, Bac Kan,Mien Bac
19852,19853,1.6,3.5,3.9335434349801064,3.0,3.25,2.25,2.25,4.25,,,7.85,7.1,10.0,14.2,,11, Bac Kan,Mien Bac
19853,19854,2.8,5.75,3.9335434349801064,3.5,2.25,2.75,2.0,6.5,,,8.55,7.8,14.25,14.2,,11, Bac Kan,Mien Bac
19854,19855,1.4,4.0,3.9335434349801064,2.0,3.0,3.0,3.75,4.75,,,6.4,7.4,12.5,14.2,,11, Bac Kan,Mien Bac
19884,19885,3.2,2.25,2.6,3.0,3.0,3.5,4.0,4.0,6.25,,9.2,9.7,10.25,8.05,8.8,11, Bac Kan,Mien Bac
20033,20034,5.6,5.75,2.8,5.0,6.25,3.5,3.25,5.0,5.25,,16.85,15.35,14.0,14.15,13.4,11, Bac Kan,Mien Bac
20035,20036,3.8,6.5,3.0,2.25,2.75,3.75,2.5,6.0,6.5,,8.8,10.3,15.0,13.3,9.05,11, Bac Kan,Mien Bac
20070,20071,3.8,4.25,2.8,1.75,2.5,3.0,1.5,3.75,4.0,,8.05,9.3,9.5,10.85,8.35,11, Bac Kan,Mien Bac
20072,20073,5.4,8.75,3.0,3.75,3.5,4.25,4.75,7.5,8.5,,12.65,13.15,21.0,17.15,12.15,11, Bac Kan,Mien Bac
20117,20118,3.8,4.5,3.2,2.75,2.0,3.75,2.25,4.0,5.0,,8.55,9.55,10.75,11.5,9.75,11, Bac Kan,Mien Bac
20143,20144,3.2,4.5,3.4,3.0,2.75,3.5,4.25,5.75,6.5,,8.95,9.45,14.5,11.1,9.6,11, Bac Kan,Mien Bac
20280,20281,4.4,7.5,3.8,4.75,3.25,4.75,4.5,7.0,8.25,,12.4,12.4,19.0,15.7,12.95,11, Bac Kan,Mien Bac
20393,20394,5.2,8.0,4.2,4.0,5.0,5.5,6.0,7.0,8.25,,14.2,15.7,21.0,17.4,13.4,11, Bac Kan,Mien Bac
20401,20402,2.6,5.75,3.9335434349801064,3.25,3.25,4.25,2.25,4.25,,,9.1,10.1,12.25,14.2,,11, Bac Kan,Mien Bac
20402,20403,6.0,5.0,3.9335434349801064,2.5,2.0,2.75,3.75,5.0,,,10.5,10.75,13.75,14.2,,11, Bac Kan,Mien Bac
20403,20404,2.2,5.0,3.9335434349801064,2.25,2.75,3.0,3.25,5.75,,,7.2,7.95,14.0,14.2,,11, Bac Kan,Mien Bac
20405,20406,3.0,4.0,3.9335434349801064,3.25,2.5,2.5,4.25,5.5,,,8.75,8.0,13.75,14.2,,11, Bac Kan,Mien Bac
20406,20407,2.0,6.0,3.9335434349801064,3.0,2.25,3.25,2.5,5.25,,,7.25,7.5,13.75,14.2,,11, Bac Kan,Mien Bac
20506,20507,3.2,4.0,3.9335434349801064,1.75,2.25,4.25,3.0,4.5,,,7.2,9.7,11.5,14.2,,11, Bac Kan,Mien Bac
20511,20512,3.8,6.0,3.9335434349801064,3.75,3.0,3.5,4.5,6.5,,,10.55,10.3,17.0,14.2,,11, Bac Kan,Mien Bac
20602,20603,3.8,6.25,2.2,1.25,2.25,3.5,3.5,5.75,7.0,,7.3,9.55,15.5,12.25,7.25,11, Bac Kan,Mien Bac
20619,20620,4.2,7.0,2.8,3.25,3.5,3.0,3.5,5.0,5.5,,10.95,10.7,15.5,14.0,10.25,11, Bac Kan,Mien Bac
20747,20748,4.8,5.5,3.2,4.5,3.5,,7.5,6.5,8.0,,12.8,,19.5,13.5,12.5,11, Bac Kan,Mien Bac
20783,20784,2.4,5.0,3.9335434349801064,3.5,2.75,3.5,2.75,5.25,,,8.65,8.65,13.0,14.2,,11, Bac Kan,Mien Bac
20797,20798,4.6,8.0,3.0,3.25,2.5,3.75,5.0,6.25,8.75,,10.35,10.85,19.25,15.6,10.85,11, Bac Kan,Mien Bac
20804,20805,6.6,9.0,4.2,3.25,4.0,4.25,4.25,7.5,9.0,,13.85,14.85,20.75,19.8,14.05,11, Bac Kan,Mien Bac
20807,20808,3.8,3.75,2.2,3.25,1.75,4.0,3.75,3.75,8.5,,8.8,9.55,11.25,9.75,9.25,11, Bac Kan,Mien Bac
20810,20811,4.4,5.5,1.6,2.75,4.75,4.75,3.5,5.75,7.25,,11.9,13.9,14.75,11.5,8.75,11, Bac Kan,Mien Bac
20814,20815,4.8,5.25,3.6,4.25,3.75,3.75,3.5,5.5,7.0,,12.8,12.3,14.25,13.65,12.65,11, Bac Kan,Mien Bac
20816,20817,3.6,5.25,2.6,1.5,3.25,1.5,2.5,5.25,7.5,,8.35,8.35,13.0,11.45,7.7,11, Bac Kan,Mien Bac
